,0
2016-01-08 09:40:00,941053.5895599999
2016-01-08 09:45:00,952285.58956
2016-01-08 09:50:00,956659.58956
2016-01-08 09:55:00,950125.58956
2016-01-08 10:00:00,943591.5895599999
2016-01-08 10:05:00,943753.5895599999
2016-01-08 10:10:00,940539.9943599998
2016-01-08 10:15:00,944037.9943599998
2016-01-08 10:20:00,953277.9943599998
2016-01-08 10:25:00,948657.9943599998
2016-01-08 10:30:00,949845.9943599998
2016-01-08 10:35:00,949053.9943599999
2016-01-08 10:40:00,951693.9943599999
2016-01-08 10:45:00,952089.9943599999
2016-01-08 10:50:00,947139.9943599999
2016-01-08 10:55:00,944169.9943599999
2016-01-08 11:00:00,943575.9943599999
2016-01-08 11:05:00,947403.99436
2016-01-08 11:10:00,952287.9943599999
2016-01-08 11:15:00,951693.99436
2016-01-08 11:20:00,953277.9943599999
2016-01-08 11:25:00,957633.99436
2016-01-08 11:30:00,961989.99436
2016-01-08 13:05:00,960339.99436
2016-01-08 13:10:00,959415.99436
2016-01-08 13:15:00,963837.99436
2016-01-08 13:20:00,967467.99436
2016-01-08 13:25:00,963837.99436
2016-01-08 13:30:00,974067.99436
2016-01-08 13:35:00,970965.99436
2016-01-08 13:40:00,967797.99436
2016-01-08 13:45:00,967863.9943600001
2016-01-08 13:50:00,965685.99436
2016-01-08 13:55:00,961857.99436
2016-01-08 14:00:00,959943.9943600001
2016-01-08 14:05:00,956577.99436
2016-01-08 14:10:00,960207.99436
2016-01-08 14:15:00,956049.99436
2016-01-08 14:20:00,958623.99436
2016-01-08 14:25:00,959217.9943599999
2016-01-08 14:30:00,961791.9943599999
2016-01-08 14:35:00,955389.9943599999
2016-01-08 14:40:00,959481.9943599999
2016-01-08 14:45:00,956775.9943599998
2016-01-08 14:50:00,950373.9943599999
2016-01-08 14:55:00,946611.9943599999
2016-01-08 15:00:00,945159.9943599999
2016-01-11 09:35:00,927405.9943599999
2016-01-11 09:40:00,930639.9943599999
2016-01-11 09:45:00,936711.9943599999
2016-01-11 09:50:00,935760.6889599999
2016-01-11 09:55:00,937704.6889599999
2016-01-11 10:00:00,934464.6889599999
2016-01-11 10:05:00,931332.6889599999
2016-01-11 10:10:00,930144.6889599999
2016-01-11 10:15:00,931980.6889599999
2016-01-11 10:20:00,932520.6889599999
2016-01-11 10:25:00,931332.6889599999
2016-01-11 10:30:00,931764.6889599999
2016-01-11 10:35:00,930738.6889599999
2016-01-11 10:40:00,934464.6889599999
2016-01-11 10:45:00,935058.6889599999
2016-01-11 10:50:00,935274.6889599999
2016-01-11 10:55:00,935814.6889599999
2016-01-11 11:00:00,933060.6889599999
2016-01-11 11:05:00,939054.6889599999
2016-01-11 11:10:00,942510.6889599999
2016-01-11 11:15:00,946560.6889599999
2016-01-11 11:20:00,945426.6889599998
2016-01-11 11:25:00,943914.6889599998
2016-01-11 11:30:00,944454.6889599998
2016-01-11 13:05:00,943914.6889599998
2016-01-11 13:10:00,943752.6889599998
2016-01-11 13:15:00,941430.6889599998
2016-01-11 13:20:00,954012.6889599998
2016-01-11 13:25:00,951636.6889599998
2016-01-11 13:30:00,948828.6889599998
2016-01-11 13:35:00,942780.6889599999
2016-01-11 13:40:00,944724.6889599999
2016-01-11 13:45:00,943104.6889599999
2016-01-11 13:50:00,941376.6889599999
2016-01-11 13:55:00,944130.68896
2016-01-11 14:00:00,949314.68896
2016-01-11 14:05:00,948396.68896
2016-01-11 14:10:00,944724.68896
2016-01-11 14:15:00,942618.68896
2016-01-11 14:20:00,949800.6889600002
2016-01-11 14:25:00,951474.6889600002
2016-01-11 14:30:00,954876.6889600002
2016-01-11 14:35:00,953688.6889600002
2016-01-11 14:40:00,962058.6889600002
2016-01-11 14:45:00,962976.6889600002
2016-01-11 14:50:00,967620.6889600003
2016-01-11 14:55:00,968376.6889600002
2016-01-11 15:00:00,972588.6889600002
2016-01-12 09:35:00,960384.6889600002
2016-01-12 09:40:00,962922.6889600002
2016-01-12 09:45:00,954444.6889600002
2016-01-12 09:50:00,952878.6889600002
2016-01-12 09:55:00,955254.6889600002
2016-01-12 10:00:00,956604.6889600002
2016-01-12 10:05:00,955740.6889600002
2016-01-12 10:10:00,959250.6889600002
2016-01-12 10:15:00,957468.68896
2016-01-12 10:20:00,956064.68896
2016-01-12 10:25:00,957954.68896
2016-01-12 10:30:00,958602.68896
2016-01-12 10:35:00,960114.68896
2016-01-12 10:40:00,963678.68896
2016-01-12 10:45:00,964434.68896
2016-01-12 10:50:00,965784.68896
2016-01-12 10:55:00,960924.68896
2016-01-12 11:00:00,960924.68896
2016-01-12 11:05:00,957576.68896
2016-01-12 11:10:00,958224.68896
2016-01-12 11:15:00,957792.68896
2016-01-12 11:20:00,956010.68896
2016-01-12 11:25:00,953850.68896
2016-01-12 11:30:00,953094.68896
2016-01-12 13:05:00,953526.68896
2016-01-12 13:10:00,954390.6889600002
2016-01-12 13:15:00,956010.6889600002
2016-01-12 13:20:00,955200.6889600002
2016-01-12 13:25:00,958872.6889600002
2016-01-12 13:30:00,957522.6889600002
2016-01-12 13:35:00,954174.6889600002
2016-01-12 13:40:00,955254.6889600002
2016-01-12 13:45:00,954714.6889600002
2016-01-12 13:50:00,953094.6889600002
2016-01-12 13:55:00,957090.6889600002
2016-01-12 14:00:00,959196.68896
2016-01-12 14:05:00,959844.68896
2016-01-12 14:10:00,962274.68896
2016-01-12 14:15:00,961032.68896
2016-01-12 14:20:00,958764.68896
2016-01-12 14:25:00,956280.68896
2016-01-12 14:30:00,957036.6889599999
2016-01-12 14:35:00,958710.68896
2016-01-12 14:40:00,957414.68896
2016-01-12 14:45:00,959412.68896
2016-01-12 14:50:00,963840.68896
2016-01-12 14:55:00,963030.68896
2016-01-12 15:00:00,960492.68896
2016-01-13 09:35:00,951312.68896
2016-01-13 09:40:00,953364.68896
2016-01-13 09:45:00,954660.68896
2016-01-13 09:50:00,957682.2778000002
2016-01-13 09:55:00,960124.2778000002
2016-01-13 10:00:00,959266.2778000002
2016-01-13 10:05:00,961708.2778000002
2016-01-13 10:10:00,964348.2778000002
2016-01-13 10:15:00,963424.2778000002
2016-01-13 10:20:00,963952.2778000002
2016-01-13 10:25:00,962434.2778000002
2016-01-13 10:30:00,962698.2778000002
2016-01-13 10:35:00,959134.2778000002
2016-01-13 10:40:00,960586.2778000002
2016-01-13 10:45:00,961906.2778000002
2016-01-13 10:50:00,959926.2778000002
2016-01-13 10:55:00,963622.2778000002
2016-01-13 11:00:00,960124.2778000002
2016-01-13 11:05:00,959992.2778000002
2016-01-13 11:10:00,957286.2778000002
2016-01-13 11:15:00,957154.2778000002
2016-01-13 11:20:00,956494.2778000002
2016-01-13 11:25:00,954052.2778000002
2016-01-13 11:30:00,953458.2778000003
2016-01-13 13:05:00,953326.2778000003
2016-01-13 13:10:00,948244.2778000003
2016-01-13 13:15:00,950092.2778000003
2016-01-13 13:20:00,946910.1371200003
2016-01-13 13:25:00,947720.1371200003
2016-01-13 13:30:00,949016.1371200003
2016-01-13 13:35:00,949934.1371200003
2016-01-13 13:40:00,945506.1371200003
2016-01-13 13:45:00,945668.1371200003
2016-01-13 13:50:00,948476.1371200003
2016-01-13 13:55:00,951284.1371200003
2016-01-13 14:00:00,949718.1371200003
2016-01-13 14:05:00,949610.1371200003
2016-01-13 14:10:00,949178.1371200003
2016-01-13 14:15:00,949178.1371200003
2016-01-13 14:20:00,951230.1371200003
2016-01-13 14:25:00,953984.1371200004
2016-01-13 14:30:00,962948.1371200004
2016-01-13 14:35:00,961976.1371200004
2016-01-13 14:40:00,961166.1371200004
2016-01-13 14:45:00,964946.1371200004
2016-01-13 14:50:00,964082.1371200003
2016-01-13 14:55:00,963488.1371200003
2016-01-13 15:00:00,963002.1371200003
2016-01-14 09:35:00,980498.1371200003
2016-01-14 09:40:00,971750.1371200003
2016-01-14 09:45:00,972344.1371200004
2016-01-14 09:50:00,976016.1371200004
2016-01-14 09:55:00,974018.1371200004
2016-01-14 10:00:00,968564.1371200004
2016-01-14 10:05:00,968078.1371200004
2016-01-14 10:10:00,971642.1371200004
2016-01-14 10:15:00,972074.1371200006
2016-01-14 10:20:00,975908.1371200006
2016-01-14 10:25:00,974396.1371200006
2016-01-14 10:30:00,971588.1371200006
2016-01-14 10:35:00,972884.1371200006
2016-01-14 10:40:00,972398.1371200006
2016-01-14 10:45:00,976718.1371200006
2016-01-14 10:50:00,978122.1371200006
2016-01-14 10:55:00,976178.1371200006
2016-01-14 11:00:00,973262.1371200006
2016-01-14 11:05:00,974720.1371200006
2016-01-14 11:10:00,969968.1371200006
2016-01-14 11:15:00,969212.1371200006
2016-01-14 11:20:00,969158.1371200006
2016-01-14 11:25:00,971318.1371200006
2016-01-14 11:30:00,968456.1371200006
2016-01-14 13:05:00,971048.1371200006
2016-01-14 13:10:00,967808.1371200006
2016-01-14 13:15:00,966512.1371200006
2016-01-14 13:20:00,962948.1371200006
2016-01-14 13:25:00,963218.1371200006
2016-01-14 13:30:00,957062.1371200006
2016-01-14 13:35:00,955226.1371200007
2016-01-14 13:40:00,955820.1371200007
2016-01-14 13:45:00,955604.1371200008
2016-01-14 13:50:00,958088.1371200008
2016-01-14 13:55:00,962472.3607600008
2016-01-14 14:00:00,958116.3607600008
2016-01-14 14:05:00,972108.3607600008
2016-01-14 14:10:00,966564.3607600008
2016-01-14 14:15:00,965442.3607600008
2016-01-14 14:20:00,964056.3607600008
2016-01-14 14:25:00,962472.3607600008
2016-01-14 14:30:00,967686.3607600008
2016-01-14 14:35:00,965772.3607600008
2016-01-14 14:40:00,972636.3607600008
2016-01-14 14:45:00,971712.3607600008
2016-01-14 14:50:00,967686.3607600008
2016-01-14 14:55:00,969072.3607600008
2016-01-14 15:00:00,969204.3607600008
2016-01-15 09:35:00,939108.3607600008
2016-01-15 09:40:00,941946.3607600008
2016-01-15 09:45:00,941352.3607600008
2016-01-15 09:50:00,940494.3607600008
2016-01-15 09:55:00,940296.3607600008
2016-01-15 10:00:00,942870.3607600008
2016-01-15 10:05:00,942276.3607600008
2016-01-15 10:10:00,946085.2633600007
2016-01-15 10:15:00,948569.2633600007
2016-01-15 10:20:00,948623.2633600007
2016-01-15 10:25:00,948839.2633600007
2016-01-15 10:30:00,950189.2633600007
2016-01-15 10:35:00,951323.2633600007
2016-01-15 10:40:00,952619.2633600007
2016-01-15 10:45:00,951377.2633600007
2016-01-15 10:50:00,951215.2633600007
2016-01-15 10:55:00,950837.2633600007
2016-01-15 11:00:00,953159.2633600007
2016-01-15 11:05:00,953213.2633600007
2016-01-15 11:10:00,950837.2633600008
2016-01-15 11:15:00,951593.2633600007
2016-01-15 11:20:00,952889.2633600007
2016-01-15 11:25:00,955643.2633600007
2016-01-15 11:30:00,960719.2633600007
2016-01-15 13:05:00,963689.2633600007
2016-01-15 13:10:00,968279.2633600007
2016-01-15 13:15:00,966875.2633600007
2016-01-15 13:20:00,966983.2633600006
2016-01-15 13:25:00,971141.2633600006
2016-01-15 13:30:00,970547.2633600006
2016-01-15 13:35:00,970439.2633600006
2016-01-15 13:40:00,966605.2633600006
2016-01-15 13:45:00,970169.2633600006
2016-01-15 13:50:00,969305.2633600006
2016-01-15 13:55:00,968009.2633600006
2016-01-15 14:00:00,963149.2633600006
2016-01-15 14:05:00,960989.2633600006
2016-01-15 14:10:00,966497.2633600006
2016-01-15 14:15:00,970277.2633600006
2016-01-15 14:20:00,975839.2633600006
2016-01-15 14:25:00,976595.2633600006
2016-01-15 14:30:00,976757.2633600006
2016-01-15 14:35:00,970439.2633600006
2016-01-15 14:40:00,970709.2633600006
2016-01-15 14:45:00,976757.2633600006
2016-01-15 14:50:00,979727.2633600006
2016-01-15 14:55:00,974273.2633600004
2016-01-15 15:00:00,969413.2633600004
2016-01-18 09:35:00,965633.2633600004
2016-01-18 09:40:00,965201.2633600004
2016-01-18 09:45:00,959045.2633600006
2016-01-18 09:50:00,961205.2633600006
2016-01-18 09:55:00,959909.2633600006
2016-01-18 10:00:00,958991.2633600006
2016-01-18 10:05:00,954833.2633600006
2016-01-18 10:10:00,958883.2633600006
2016-01-18 10:15:00,957857.2633600007
2016-01-18 10:20:00,960395.2633600007
2016-01-18 10:25:00,960665.2633600007
2016-01-18 10:30:00,961799.2633600007
2016-01-18 10:35:00,960071.0905600006
2016-01-18 10:40:00,956837.0905600006
2016-01-18 10:45:00,955055.0905600006
2016-01-18 10:50:00,954071.2848400006
2016-01-18 10:55:00,953153.2848400006
2016-01-18 11:00:00,950669.2848400006
2016-01-18 11:05:00,950993.2848400006
2016-01-18 11:10:00,954611.2848400006
2016-01-18 11:15:00,955475.2848400006
2016-01-18 11:20:00,955961.2848400006
2016-01-18 11:25:00,951155.2848400006
2016-01-18 11:30:00,945485.2848400006
2016-01-18 13:05:00,940409.2848400007
2016-01-18 13:10:00,943055.2848400006
2016-01-18 13:15:00,943402.8222400006
2016-01-18 13:20:00,942082.8222400006
2016-01-18 13:25:00,940828.8222400006
2016-01-18 13:30:00,947230.8222400006
2016-01-18 13:35:00,943468.8222400006
2016-01-18 13:40:00,939310.8222400006
2016-01-18 13:45:00,941686.8222400007
2016-01-18 13:50:00,942346.8222400007
2016-01-18 13:55:00,944788.8222400006
2016-01-18 14:00:00,936472.8222400006
2016-01-18 14:05:00,939772.8222400006
2016-01-18 14:10:00,944590.8222400006
2016-01-18 14:15:00,942346.8222400007
2016-01-18 14:20:00,938452.8222400007
2016-01-18 14:25:00,934426.8222400007
2016-01-18 14:30:00,935680.8222400006
2016-01-18 14:35:00,930202.8222400006
2016-01-18 14:40:00,930928.8222400006
2016-01-18 14:45:00,930400.8222400006
2016-01-18 14:50:00,932050.8222400006
2016-01-18 14:55:00,927760.8222400006
2016-01-18 15:00:00,929872.8222400006
2016-01-19 09:35:00,934558.8222400006
2016-01-19 09:40:00,937852.6411600006
2016-01-19 09:45:00,937636.6411600006
2016-01-19 09:50:00,933208.6411600007
2016-01-19 09:55:00,931588.6411600007
2016-01-19 10:00:00,932506.6411600006
2016-01-19 10:05:00,930994.6411600006
2016-01-19 10:10:00,932830.6411600006
2016-01-19 10:15:00,931594.3358800007
2016-01-19 10:20:00,930472.3358800007
2016-01-19 10:25:00,930010.3358800007
2016-01-19 10:30:00,930142.3358800007
2016-01-19 10:35:00,930604.3358800007
2016-01-19 10:40:00,925522.3358800007
2016-01-19 10:45:00,927106.3358800006
2016-01-19 10:50:00,928954.2348400006
2016-01-19 10:55:00,928252.2348400006
2016-01-19 11:00:00,927982.2348400006
2016-01-19 11:05:00,930898.2348400006
2016-01-19 11:10:00,926362.2348400006
2016-01-19 11:15:00,925552.2348400006
2016-01-19 11:20:00,925444.2348400006
2016-01-19 11:25:00,916912.2348400006
2016-01-19 11:30:00,911188.2348400006
2016-01-19 13:05:00,909783.2202400005
2016-01-19 13:10:00,908727.2202400005
2016-01-19 13:15:00,909123.2202400005
2016-01-19 13:20:00,910773.2202400005
2016-01-19 13:25:00,910443.2202400005
2016-01-19 13:30:00,912093.2202400005
2016-01-19 13:35:00,914271.2202400005
2016-01-19 13:40:00,916713.2202400005
2016-01-19 13:45:00,914073.2202400005
2016-01-19 13:50:00,913743.2202400005
2016-01-19 13:55:00,917307.2202400005
2016-01-19 14:00:00,912687.2202400005
2016-01-19 14:05:00,912687.2202400005
2016-01-19 14:10:00,916647.2202400005
2016-01-19 14:15:00,915723.2202400005
2016-01-19 14:20:00,912621.2202400005
2016-01-19 14:25:00,914469.2202400005
2016-01-19 14:30:00,914403.2202400005
2016-01-19 14:35:00,918891.2202400005
2016-01-19 14:40:00,917505.2202400005
2016-01-19 14:45:00,919023.2202400005
2016-01-19 14:50:00,919221.2202400005
2016-01-19 14:55:00,914733.2202400005
2016-01-19 15:00:00,913743.2202400005
2016-01-20 09:35:00,911037.2202400005
2016-01-20 09:40:00,908727.2202400005
2016-01-20 09:45:00,912027.2202400005
2016-01-20 09:50:00,912819.2202400004
2016-01-20 09:55:00,911763.2202400004
2016-01-20 10:00:00,911499.2202400004
2016-01-20 10:05:00,914799.2202400004
2016-01-20 10:10:00,914139.2202400004
2016-01-20 10:15:00,912555.2202400005
2016-01-20 10:20:00,912027.2202400005
2016-01-20 10:25:00,910179.2202400004
2016-01-20 10:30:00,909387.2202400005
2016-01-20 10:35:00,908133.2202400005
2016-01-20 10:40:00,909123.2202400005
2016-01-20 10:45:00,910179.2202400005
2016-01-20 10:50:00,910443.2202400005
2016-01-20 10:55:00,907077.2202400005
2016-01-20 11:00:00,906021.2202400004
2016-01-20 11:05:00,903843.2202400004
2016-01-20 11:10:00,901203.2202400004
2016-01-20 11:15:00,901797.2202400004
2016-01-20 11:20:00,901269.2202400003
2016-01-20 11:25:00,905732.4954400003
2016-01-20 11:30:00,908810.4954400003
2016-01-20 13:05:00,910808.4954400003
2016-01-20 13:10:00,910430.4954400003
2016-01-20 13:15:00,909620.4954400003
2016-01-20 13:20:00,906596.4954400003
2016-01-20 13:25:00,906164.4954400002
2016-01-20 13:30:00,908000.4954400002
2016-01-20 13:35:00,908864.4954400002
2016-01-20 13:40:00,909620.4954400002
2016-01-20 13:45:00,903680.4954400002
2016-01-20 13:50:00,903572.4954400002
2016-01-20 13:55:00,902870.4954400002
2016-01-20 14:00:00,904760.4954400002
2016-01-20 14:05:00,904922.4954400002
2016-01-20 14:10:00,908270.4954400002
2016-01-20 14:15:00,908594.4954400002
2016-01-20 14:20:00,909188.4954400003
2016-01-20 14:25:00,909836.4954400003
2016-01-20 14:30:00,907568.4954400003
2016-01-20 14:35:00,902222.4954400003
2016-01-20 14:40:00,902384.4954400003
2016-01-20 14:45:00,905030.4954400003
2016-01-20 14:50:00,908108.4954400003
2016-01-20 14:55:00,906110.4954400003
2016-01-20 15:00:00,907730.4954400003
2016-01-21 09:35:00,908540.4954400003
2016-01-21 09:40:00,906488.4954400003
2016-01-21 09:45:00,904436.4954400003
2016-01-21 09:50:00,906218.4954400003
2016-01-21 09:55:00,903788.4954400003
2016-01-21 10:00:00,903194.4954400002
2016-01-21 10:05:00,905408.4954400003
2016-01-21 10:10:00,907190.4954400003
2016-01-21 10:15:00,907082.4954400003
2016-01-21 10:20:00,906920.4954400003
2016-01-21 10:25:00,906272.4954400003
2016-01-21 10:30:00,904868.4954400003
2016-01-21 10:35:00,903680.4954400003
2016-01-21 10:40:00,903896.4954400003
2016-01-21 10:45:00,902600.4954400003
2016-01-21 10:50:00,903572.4954400003
2016-01-21 10:55:00,903248.4954400003
2016-01-21 11:00:00,898550.4954400003
2016-01-21 11:05:00,898388.4954400003
2016-01-21 11:10:00,896035.6050400004
2016-01-21 11:15:00,903097.6050400004
2016-01-21 11:20:00,906595.6050400004
2016-01-21 11:25:00,903097.6050400004
2016-01-21 11:30:00,903823.6050400004
2016-01-21 13:05:00,892867.6050400004
2016-01-21 13:10:00,890161.6050400004
2016-01-21 13:15:00,889039.6050400004
2016-01-21 13:20:00,887851.6050400004
2016-01-21 13:25:00,887191.6050400004
2016-01-21 13:30:00,885541.6050400004
2016-01-21 13:35:00,880921.6050400004
2016-01-21 13:40:00,876433.6050400003
2016-01-21 13:45:00,876475.6226800003
2016-01-21 13:50:00,874693.6226800001
2016-01-21 13:55:00,876475.6226800003
2016-01-21 14:00:00,876529.6226800003
