,合约系列,成交量,持仓量,持仓量变化,成交额,行权量,隐含波动率,date
121,ru1906                        ,876,2174,240,548.656,0,0.252025,2019-02-25
122,ru1907                        ,94,304,70,47.91,0,0.251746,2019-02-25
123,ru1908                        ,20,164,18,20.804,0,0.247558,2019-02-25
124,ru1909                        ,872,4670,-106,652.882,0,0.240332,2019-02-25
125,ru1910                        ,16,126,6,3.74,0,0.248334,2019-02-25
126,ru1911                        ,12,152,8,5.172,0,0.240705,2019-02-25
127,ru2001                        ,8,402,0,2.91,0,0.24308,2019-02-25
128,ru1905                        ,7432,17704,52,3062.74,0,0.276785,2019-02-26
129,ru1906                        ,450,2218,44,181.1,0,0.272497,2019-02-26
130,ru1907                        ,34,322,18,14.374,0,0.24824,2019-02-26
131,ru1908                        ,2,166,2,0.486,0,0.248618,2019-02-26
132,ru1909                        ,512,4794,124,388.428,0,0.245952,2019-02-26
133,ru1910                        ,10,124,-2,2.49,0,0.243149,2019-02-26
134,ru1911                        ,0,152,0,0.0,0,0.243149,2019-02-26
135,ru2001                        ,2,402,0,3.192,0,0.229763,2019-02-26
136,ru1905                        ,5274,18264,560,2136.006,0,0.279877,2019-02-27
137,ru1906                        ,648,2394,176,365.198,0,0.257683,2019-02-27
138,ru1907                        ,8,326,4,6.126,0,0.183772,2019-02-27
139,ru1908                        ,4,170,4,1.278,0,0.260779,2019-02-27
140,ru1909                        ,210,4836,42,199.598,0,0.241811,2019-02-27
141,ru1910                        ,0,124,0,0.0,0,0.241811,2019-02-27
142,ru1911                        ,0,152,0,0.0,0,0.225154,2019-02-27
143,ru2001                        ,18,398,-4,28.806,0,0.225154,2019-02-27
144,ru1905                        ,7046,18514,250,2878.48,0,0.277767,2019-02-28
145,ru1906                        ,226,2390,-4,58.282,0,0.25537,2019-02-28
146,ru1907                        ,0,326,0,0.0,0,0.25537,2019-02-28
147,ru1908                        ,6,166,-4,0.9,0,0.2388,2019-02-28
148,ru1909                        ,44,4854,18,32.98,0,0.262916,2019-02-28
149,ru1910                        ,6,124,0,0.732,0,0.222996,2019-02-28
150,ru1911                        ,2,154,2,0.938,0,0.24873,2019-02-28
